[LB] escuchando en :18080  pool=['127.0.0.1:18001', '127.0.0.1:18002']
[LB] 16/Jun/2026 22:36:15 "GET /whoami HTTP/1.1" 503 -
[LB] 503 - sin backends sanos
[LB] 16/Jun/2026 22:36:16 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:16 "GET /lb-health HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "POST /api/registro HTTP/1.1" 201 -
[LB] 16/Jun/2026 22:36:17 "POST /api/registro HTTP/1.1" 409 -
[LB] 16/Jun/2026 22:36:17 "POST /api/login HTTP/1.1" 401 -
[LB] 16/Jun/2026 22:36:17 "POST /api/login HTTP/1.1" 401 -
[LB] 16/Jun/2026 22:36:17 "POST /api/login HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "POST /api/login HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "POST /api/incidencias HTTP/1.1" 400 -
[LB] 16/Jun/2026 22:36:17 "POST /api/incidencias HTTP/1.1" 400 -
[LB] 16/Jun/2026 22:36:17 "POST /api/incidencias HTTP/1.1" 201 -
[LB] 16/Jun/2026 22:36:17 "POST /api/incidencias/7/estado HTTP/1.1" 403 -
[LB] 16/Jun/2026 22:36:17 "POST /api/incidencias/7/estado HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /api/incidencias/7/historial HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /api/incidencias HTTP/1.1" 401 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:17 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:21 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:21 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:21 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:21 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:25 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:25 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:25 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:25 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:25 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:25 "GET /whoami HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:25 "GET /lb-health HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:26 "GET /lb-health HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:27 "GET /lb-health HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:29 "GET /lb-health HTTP/1.1" 200 -
[LB] 16/Jun/2026 22:36:30 "GET /lb-health HTTP/1.1" 200 -
